date,city,province,temp_max_actual,temp_min_actual,precip_actual,wind_speed_actual
2026-07-28,Winnipeg,MB,30.4,19.3,0.0,8
2026-07-28,Brandon,MB,30.9,15.2,0.0,17
2026-07-28,Thompson,MB,26.7,12.0,0.0,18
2026-07-28,Portage la Prairie,MB,30.9,15.9,0.0,12
2026-07-28,Steinbach,MB,29.4,15.1,0.0,12
2026-07-28,Regina,SK,30.7,11.7,0.0,20
2026-07-28,Saskatoon,SK,27.4,11.6,0.0,23
2026-07-28,Calgary,AB,30.0,9.7,0.0,21
2026-07-28,Edmonton,AB,25.2,11.5,4.0,19
2026-07-27,Vancouver,BC,18.9,15.4,1.3,5
2026-07-27,Victoria,BC,19.1,12.4,0.2,17
2026-07-28,Kelowna,BC,32.1,14.0,0.0,35
2026-07-28,Toronto,ON,27.4,19.7,4.2,24
2026-07-28,Ottawa,ON,22.7,19.0,30.4,11
2026-07-28,Hamilton,ON,28.5,16.1,2.8,8
2026-07-28,London,ON,26.3,17.7,2.5,25
2026-07-28,Montreal,QC,24.0,19.3,22.8,9
2026-07-28,Quebec City,QC,22.9,17.5,8.6,39
2026-07-28,Gatineau,QC,22.7,19.0,30.4,11
2026-07-28,Halifax,NS,24.9,16.3,1.4,13
2026-07-28,Fredericton,NB,28.9,13.8,0.0,14
2026-07-28,Moncton,NB,28.0,11.2,0.0,17
2026-07-28,Charlottetown,PE,24.4,12.8,0.0,15
2026-07-28,St. John's,NL,14.7,11.6,4.0,32
2026-07-28,Whitehorse,YT,19.4,4.7,0.0,12
2026-07-28,Yellowknife,NT,21.5,10.1,0.0,16
2026-07-28,Iqaluit,NU,8.7,3.0,1.0,11
2026-07-28,Vancouver,BC,22.8,16.0,2.0,7
2026-07-28,Victoria,BC,23.3,13.1,0.0,28
2026-07-29,Winnipeg,MB,33.8,20.8,12.1,19
2026-07-29,Brandon,MB,33.2,15.3,10.9,18
2026-07-29,Thompson,MB,28.5,14.9,3.5,23
2026-07-29,Portage la Prairie,MB,33.0,19.0,6.6,35
2026-07-29,Steinbach,MB,32.4,20.5,2.9,23
2026-07-29,Regina,SK,30.0,16.3,1.0,22
2026-07-29,Saskatoon,SK,26.9,12.1,0.0,23
2026-07-29,Calgary,AB,26.7,9.7,0.0,21
2026-07-29,Edmonton,AB,23.5,10.6,0.0,13
2026-07-29,Vancouver,BC,23.6,14.5,0.0,4
2026-07-29,Victoria,BC,19.6,11.5,0.0,27
2026-07-29,Kelowna,BC,30.2,12.6,0.0,11
2026-07-29,Toronto,ON,27.4,18.7,0.0,30
2026-07-29,Ottawa,ON,22.8,18.6,7.6,18
2026-07-29,Hamilton,ON,27.9,14.8,0.0,14
2026-07-29,London,ON,26.3,14.8,0.0,29
2026-07-29,Montreal,QC,25.6,19.9,16.7,10
2026-07-29,Quebec City,QC,20.8,16.7,8.0,27
2026-07-29,Gatineau,QC,22.8,18.6,7.6,18
2026-07-29,Halifax,NS,23.9,15.8,0.0,12
2026-07-29,Fredericton,NB,26.4,13.6,0.0,11
2026-07-29,Moncton,NB,28.6,13.1,0.0,15
2026-07-29,Charlottetown,PE,26.0,12.1,0.0,14
2026-07-29,St. John's,NL,16.3,12.9,1.0,38
2026-07-29,Whitehorse,YT,16.2,9.9,2.7,11
2026-07-29,Yellowknife,NT,24.4,9.9,0.0,31
2026-07-29,Iqaluit,NU,8.6,2.4,4.4,16
2026-07-30,Winnipeg,MB,30.1,22,0,12
2026-07-30,Brandon,MB,28.5,16.2,0.4,22
2026-07-30,Thompson,MB,22.4,9.8,0.5,29
2026-07-30,Portage la Prairie,MB,28.3,17.8,0,22
2026-07-30,Steinbach,MB,29.5,19.3,0.5,21
2026-07-30,Regina,SK,29,11.7,0,17
2026-07-30,Saskatoon,SK,28,7.8,0,16
2026-07-30,Calgary,AB,25.6,10.6,0,15
2026-07-30,Edmonton,AB,24.2,13.3,0,14
2026-07-30,Vancouver,BC,25,14.9,0,5
2026-07-30,Victoria,BC,17.8,11.7,0,31
