date,city,province,temp_max_actual,temp_min_actual,precip_actual,wind_speed_actual
2026-07-28,Winnipeg,MB,30.2,17.9,0.0,5.2
2026-07-28,Brandon,MB,30.5,16.5,0.0,10.6
2026-07-28,Thompson,MB,25.8,13.8,0.0,9.4
2026-07-28,Portage la Prairie,MB,31.6,17.8,0.3,11.2
2026-07-28,Steinbach,MB,28.3,15.9,0.0,10.1
2026-07-28,Regina,SK,31.0,16.7,0.0,13.9
2026-07-28,Saskatoon,SK,27.2,14.5,0.0,15.7
2026-07-28,Calgary,AB,29.8,13.6,0.0,21.8
2026-07-28,Edmonton,AB,24.3,12.4,3.1,19.0
2026-07-28,Vancouver,BC,20.2,16.0,3.5,18.3
2026-07-28,Victoria,BC,22.1,15.1,2.2,20.7
2026-07-28,Kelowna,BC,29.4,17.0,0.1,16.4
2026-07-28,Toronto,ON,26.1,18.9,10.0,20.7
2026-07-28,Ottawa,ON,23.6,18.7,17.0,8.3
2026-07-28,Hamilton,ON,26.3,19.1,6.2,23.1
2026-07-28,London,ON,25.1,18.9,4.8,24.7
2026-07-28,Montreal,QC,24.7,20.2,10.3,12.5
2026-07-28,Quebec City,QC,25.4,16.9,6.1,18.3
2026-07-28,Gatineau,QC,23.3,18.7,17.0,10.2
2026-07-28,Halifax,NS,23.7,15.9,5.2,14.6
2026-07-28,Fredericton,NB,28.5,14.6,0.0,17.5
2026-07-28,Moncton,NB,28.5,14.6,0.0,11.9
2026-07-28,Charlottetown,PE,24.1,17.7,2.7,10.5
2026-07-28,St. John's,NL,13.9,12.2,7.3,22.6
2026-07-28,Whitehorse,YT,19.1,7.9,3.6,13.8
2026-07-28,Yellowknife,NT,18.9,12.0,1.6,11.7
2026-07-28,Iqaluit,NU,12.4,7.5,3.4,17.3
2026-07-29,Winnipeg,MB,34.7,21.0,0.0,21.6
2026-07-29,Brandon,MB,33.0,15.1,3.4,22.2
2026-07-29,Thompson,MB,27.9,16.6,4.7,16.8
2026-07-29,Portage la Prairie,MB,35.5,20.8,1.3,19.1
2026-07-29,Steinbach,MB,32.6,20.8,0.0,30.9
2026-07-29,Regina,SK,31.4,18.8,0.0,16.7
2026-07-29,Saskatoon,SK,27.5,17.2,0.0,16.3
2026-07-29,Calgary,AB,26.4,12.7,0.0,15.1
2026-07-29,Edmonton,AB,21.6,11.3,0.0,13.8
2026-07-29,Vancouver,BC,20.4,14.0,0.0,9.4
2026-07-29,Victoria,BC,20.9,10.3,0.0,16.2
2026-07-29,Kelowna,BC,29.9,15.0,0.0,5.6
2026-07-29,Toronto,ON,27.6,18.4,0.0,21.1
2026-07-29,Ottawa,ON,22.3,18.4,8.5,13.7
2026-07-29,Hamilton,ON,25.8,17.8,0.0,20.7
2026-07-29,London,ON,24.5,16.1,0.0,23.2
2026-07-29,Montreal,QC,25.4,19.2,3.9,14.3
2026-07-29,Quebec City,QC,22.9,14.6,15.2,19.7
2026-07-29,Gatineau,QC,22.5,18.6,12.1,12.8
2026-07-29,Halifax,NS,22.6,15.3,0.0,12.9
2026-07-29,Fredericton,NB,27.6,13.7,0.0,13.1
2026-07-29,Moncton,NB,29.1,15.1,0.2,12.3
2026-07-29,Charlottetown,PE,25.4,15.5,0.0,12.6
2026-07-29,St. John's,NL,16.5,13.6,0.2,26.9
2026-07-29,Whitehorse,YT,16.0,10.2,4.3,3.3
2026-07-29,Yellowknife,NT,22.4,11.8,0.1,16.9
2026-07-29,Iqaluit,NU,11.5,6.7,1.6,29.2
2026-07-30,Winnipeg,MB,29.5,21.7,0.0,19.1
2026-07-30,Brandon,MB,27.9,18.9,0.0,13.8
2026-07-30,Thompson,MB,22.9,14.7,0.9,26.8
2026-07-30,Portage la Prairie,MB,29.3,20.8,2.2,18.4
2026-07-30,Steinbach,MB,28.5,20.9,5.0,25.2
2026-07-30,Regina,SK,28.5,15.1,0.0,12.6
2026-07-30,Saskatoon,SK,27.3,13.3,0.0,12.6
2026-07-30,Calgary,AB,26.5,12.4,0.0,9.0
2026-07-30,Edmonton,AB,22.3,12.7,1.6,14.2
2026-07-30,Vancouver,BC,21.0,13.9,0.0,15.5
2026-07-30,Victoria,BC,22.5,12.7,0.0,19.4
2026-07-30,Kelowna,BC,31.8,16.7,0.0,13.2
2026-07-30,Toronto,ON,29.0,17.4,0.0,17.9
2026-07-30,Ottawa,ON,25.7,17.7,2.1,10.4
2026-07-30,Hamilton,ON,27.5,16.6,0.0,14.8
2026-07-30,London,ON,26.6,14.2,0.0,17.2
2026-07-30,Montreal,QC,25.0,19.1,3.9,8.5
2026-07-30,Quebec City,QC,22.6,15.4,0.0,13.2
2026-07-30,Gatineau,QC,25.7,17.2,4.5,9.9
2026-07-30,Halifax,NS,22.0,16.0,30.8,24.7
2026-07-30,Fredericton,NB,21.6,17.7,2.5,19.5
2026-07-30,Moncton,NB,21.5,16.9,15.0,17.7
2026-07-30,Charlottetown,PE,21.9,16.7,26.6,24.1
2026-07-30,St. John's,NL,17.0,12.4,0.0,23.5
2026-07-30,Whitehorse,YT,19.9,9.2,0.7,8.0
2026-07-30,Yellowknife,NT,20.0,11.5,0.5,16.4
2026-07-30,Iqaluit,NU,11.8,7.2,9.5,38.1
